trade_date,close_price,portfolio_value_PPO_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_RawPrice
2024-10-21,236.479996,194.3924241817622,187.51416727047655,186.18550687008715,206.51830101992715,173.49054456194,158.72293165861217,236.479996,50.64242418176221
2024-10-22,235.860001,194.3924241817622,187.02254917125745,185.69737220633354,205.97685854611703,173.0356931072923,158.3067974160622,235.860001,50.64242418176221
2024-10-23,230.759995,190.18907250925233,182.97855646853247,185.69737220633354,201.52301639402467,169.29413850151008,158.3067974160622,230.759995,46.43907250925233
2024-10-24,230.570007,190.0324871292436,182.97855646853247,185.69737220633354,201.35709961612446,169.1547562191278,158.3067974160622,230.570007,46.282487129243606
2024-10-25,231.410004,190.7248005882578,182.97855646853247,185.69737220633354,202.09067013471426,169.7710093459267,158.3067974160622,231.410004,46.97480058825781
2024-10-28,233.399994,192.36492175571877,182.97855646853247,185.69737220633354,203.8285310988469,169.7710093459267,158.3067974160622,233.399994,48.61492175571877
2024-10-29,233.669998,192.36492175571877,183.19023146180916,185.69737220633354,204.06432595799677,169.96740545897646,158.3067974160622,233.669998,48.61492175571877
2024-10-30,230.100006,192.36492175571877,180.39146539687,185.69737220633354,200.94664710580867,167.37065669814794,158.3067974160622,230.100006,48.61492175571877
2024-11-18,228.020004,192.36492175571877,180.39146539687,185.69737220633354,199.13017854007828,167.37065669814794,158.3067974160622,228.020004,48.61492175571877
2024-11-19,228.279999,192.58426180025222,180.39146539687,185.69737220633354,199.35723252596244,167.37065669814794,158.3067974160622,228.279999,48.83426180025222
2024-11-20,229.0,192.58426180025222,180.39146539687,186.28306650400143,199.35723252596244,167.37065669814794,158.3067974160622,229.0,48.83426180025222
2024-11-21,228.520004,192.1805950957672,180.39146539687,185.89260743505096,199.35723252596244,167.01983903119387,158.3067974160622,228.520004,48.43059509576719
